marca,nacionalidade,gênero_alvo,idade_alvo,classe_alvo,faturamento(bilhoes_de_reais),relação_sustentabilidade,lojas_físicas_br,processos_trabalho_escravo,principais_países_fornecedores,reincide_contrato,canal_denuncia,grife_ou_fastfashion
Zara,Espanha,Homens e mulheres,"Jovem, adulto",B,104,Não é boa o suficiente,49,Sim,Portugal,Sim,Sim,Fast Fashion
C&A,Países baixos,Homens e mulheres,Jovem,C,"4,55",Boa,278,Não,Brasil,Sim,Sim,Fast Fashion
Shein,China,Mulheres,Jovem,C,75,Muito ruim,1,Sim,China,Não,Não,Fast Fashion
Fashion Nova,EUA,Mulheres,Jovem,C,"0,0022",Muito ruim,0,Sim,EUA,Não,Não,Fast Fashion
Renner,Brasil,Homens e mulheres,"Jovem, adulto",C,"9,5",Boa,600,Sim,Brasil,Sim,Sim,Fast Fashion
Forever 21,EUA,Mulheres,Jovem,B,"10,34",Muito ruim,19,Não,China,Não,Não,Fast Fashion
H&M,Suécia,Mulheres,Jovem,B,S/I,É um começo,0,Não,China,Não,Não,Fast Fashion
Riachuelo,Brasil,Mulheres,"Jovem, adulto",C,"1,99",Boa,335,Não,Brasil,Sim,Sim,Fast Fashion
Urban Outfiters,EUA,Homens e mulheres,Jovem,B,"18,5",Não é boa o suficiente,0,Não,Inglaterra,S/I,S/I,Fast Fashion
Miu Miu,EUA,Mulheres,Jovem,AA,S/I,Não é boa o suficiente,3,Não,Italia,Sim,Sim,Grife
Prada,Itália,Homens e mulheres,Jovem,AA,"20,16",Não é boa o suficiente,3,Não,China,Sim,Não,Grife
FARM,Brasil,Mulheres,Jovem,A,0.65,É um começo,72,Sim,Brasil,Sim,Não,Fast Fashion
Chanel,França,Homens e mulheres,"Jovem, adulto",AA,55,Não é boa o suficiente,3,Sim,França,S/I,S/I,Grife
YouCom,Brasil,Mulheres,Jovem,B,S/I,Boa,98,Sim,Brasil,Sim,Sim,Fast Fashion
Gap,EUA,Homens e mulheres,Jovem,A,"81,9",É um começo,9,Sim,Australia,Sim,Não,Fast Fashion
Nike,EUA,Homens e mulheres,Jovem,A,"54,35",É um começo,24,Sim,China,Não,Não,Fast Fashion
Uniqlo,Japão,Homens e mulheres,"Jovem, adulto",B,"7,8",É um começo,0,Sim,China,Não,Não,Fast Fashion
Mixed,Brasil,Mulheres,Jovem,B,S/I,S/I,14,Não,S/I,Não,Não,Fast Fashion
Louis Vuitton,França,Mulheres,"Jovem, adulto",AA,"184,8",Não é boa o suficiente,10,Sim,França,Não,Não,Grife
Bo.Bô,Brasil,Mulheres,Jovem,A,"1,1",Ótima,40,Sim,Spain,Sim,Não,Fast Fashion
Dudalina,Brasil,Homens e mulheres,Adulto,A,1.1,Ótima,61,Sim,Brasil,Sim,Não,Fast Fashion
